Player,Team,Pos.,yds,routes,tgts,Yds/Rt,Open,Catch,YAC,OverallOVR,Year
Michael Crabtree,Ravens,WR,645,495,102,1.3,62,28,36,40,2018
Phillip Dorsett,Patriots,WR,403,330,55,1.2,48,42,41,40,2019
Bennie Fowler,Broncos,WR,350,324,55,1.1,34,50,52,40,2017
Michael Gallup,Cowboys,WR,644,440,76,1.5,42,35,56,40,2018
Adam Humphries,Commanders,WR,383,395,57,1.0,44,45,42,40,2021
Darnell Mooney,Bears,WR,"1,055",548,128,1.9,63,16,48,40,2021
Cade Otton,Buccaneers,TE,449,451,66,1.0,53,28,47,40,2022
Alec Pierce,Colts,WR,593,438,75,1.4,38,51,44,40,2022
Allen Robinson,Bears,WR,410,326,65,1.3,40,47,46,40,2021
Mohamed Sanu,Falcons,WR,838,505,87,1.7,30,45,62,40,2018
Sterling Shepard,Giants,WR,872,540,101,1.6,47,37,46,40,2018
Robert Tonyan,Packers,TE,470,309,62,1.5,50,57,22,40,2022
Jason Witten,Cowboys,TE,529,395,79,1.3,55,36,37,40,2019
John Brown,Ravens,WR,729,473,100,1.5,57,15,54,39,2018
Chase Claypool,Steelers,WR,885,461,104,1.9,51,32,45,39,2021
Julian Edelman,Patriots,WR,"1,147",554,148,2.1,63,19,41,39,2019
Gerald Everett,Rams,TE,417,265,55,1.6,40,33,58,39,2020
Anthony Firkser,Titans,TE,431,230,55,1.9,26,61,49,39,2020
Russell Gage,Falcons,WR,786,460,98,1.7,54,25,49,39,2020
Tyler Johnson,Buccaneers,WR,405,393,58,1.0,35,43,54,39,2021
Josh Reynolds,Rams,WR,523,346,67,1.5,48,31,48,39,2018
Darius Slayton,Giants,WR,751,508,96,1.5,42,37,50,39,2020
Logan Thomas,Commanders,TE,323,341,60,0.9,39,53,38,39,2022
Tyrell Williams,Chargers,WR,756,449,69,1.7,31,60,41,39,2018
Albert Wilson,Chiefs,WR,580,314,51,1.8,43,34,54,39,2017
Jarius Wright,Panthers,WR,447,347,52,1.3,32,54,47,39,2018
Cole Beasley,Cowboys,WR,314,343,62,0.9,37,42,51,38,2017
Jared Cook,Raiders,TE,896,411,95,2.2,33,41,57,38,2018
Ed Dickson,Panthers,TE,440,308,50,1.4,31,54,45,38,2017
Greg Dulcich,Broncos,TE,411,285,53,1.4,49,37,37,38,2022
Mike Gesicki,Dolphins,TE,703,388,85,1.8,28,61,41,38,2020
Josh Reynolds,Rams,WR,683,450,79,1.5,28,49,55,38,2020
Kyle Rudolph,Vikings,TE,402,318,50,1.3,16,69,50,38,2019
Mohamed Sanu,Falcons,WR,828,451,101,1.8,34,49,47,38,2017
Mike Wallace,Ravens,WR,748,394,87,1.9,46,43,38,38,2017
Greg Ward,Eagles,WR,419,430,70,1.0,46,42,37,38,2020
Benjamin Watson,Ravens,TE,522,352,74,1.5,35,55,38,38,2017
Dede Westbrook,Jaguars,WR,424,254,61,1.7,46,36,44,38,2017
Parris Campbell,Colts,WR,623,560,82,1.1,36,42,50,37,2022
Randall Cobb,Packers,WR,653,402,77,1.6,30,51,48,37,2017
Chris Conley,Chiefs,WR,334,449,50,0.7,38,29,60,37,2018
Gabe Davis,Bills,WR,983,626,103,1.6,45,37,42,37,2022
Eric Ebron,Colts,TE,827,461,122,1.8,59,16,45,37,2018
Bruce Ellington,Texans,WR,330,306,55,1.1,41,43,41,37,2017
Larry Fitzgerald,Cardinals,WR,409,370,64,1.1,37,48,40,37,2020
